Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher
AND1_AL_S67,499,499,0,499,5.77951603607278,4.77196342579233,0.979262328200654,48.2214208844575,67.0275440483819
AND1_AY_S72,420,420,0,420,6.91358221529324,4.44335540337597,0.967714547236792,30.9737022223081,57.5107456593169
AND2_AL_S68,418,418,0,418,6.51828491840545,4.78713415475536,0.982146106550466,56.0101919968662,56.4866322172532
AND2_AY_S73,516,516,0,516,6.8961004597082,5.02967171635702,0.98570216578304,69.940662678395,72.8668177378102
AND3_AL_S69,336,336,0,336,6.73211917388786,4.56641787125067,0.970675756129825,34.1014760492109,52.0925252829979
AND3_AY_S74,430,430,0,430,5.95506428996988,4.60665817151567,0.970381872017392,33.7631061823767,58.278970124774
AND4_AL_S70,397,397,0,397,7.50683987016321,4.90945703586637,0.983172470630056,59.4264302272518,59.3078643176566
AND4_AY_S75,457,457,0,457,6.78845718736465,4.85784084357339,0.980734096567001,51.9051703688682,64.2649310531633
AND5_AL_S71,294,294,0,294,4.69476477861571,4.18107743322324,0.966585042821338,29.926717985997,38.7272640711427
AND5_AY_S76,310,310,0,310,4.8805076414969,4.40276491669577,0.974038102897471,38.5179864187424,41.1124839560579
